"","NAME","AREA","PERIMETER","acres","Deed_Acres","Type","ShapeSourc","coords.x1","coords.x2"
"1","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9783632046449,30.5064007642171
"2","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9765877677028,30.5064007642171
"3","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9748123307608,30.5064007642171
"4","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9730368938187,30.5064007642171
"5","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9712614568767,30.5064007642171
"6","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9694860199346,30.5064007642171
"7","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9677105829926,30.5064007642171
"8","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9659351460506,30.5064007642171
"9","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9641597091085,30.5064007642171
"10","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9623842721665,30.5064007642171
"11","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9606088352244,30.5064007642171
"12","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9765877677028,30.5077941109239
"13","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9748123307608,30.5077941109239
"14","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9730368938187,30.5077941109239
"15","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9712614568767,30.5077941109239
"16","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9694860199346,30.5077941109239
"17","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9677105829926,30.5077941109239
"18","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9659351460506,30.5077941109239
"19","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9641597091085,30.5077941109239
"20","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9623842721665,30.5077941109239
"21","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9606088352244,30.5077941109239
"22","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9765877677028,30.5091874576307
"23","Abita Creek Flatwoods",41077745.622,51960.515307,998.352,"999","Preserve","Survey Plats, Updated 1/5/2018 according to B,Rivers Google Earth boundary drawings",-89.9748123307608,30.5091874576307
