"","NAME","AREA","PERIMETER","acres","Deed_Acres","Type","ShapeSourc","coords.x1","coords.x2"
"1","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.0780368585428,30.4357944688866
"2","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.0763695243538,30.4357944688866
"3","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.0747021901648,30.4357944688866
"4","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.0780368585428,30.4374276124887
"5","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.0763695243538,30.4374276124887
"6","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.0747021901648,30.4374276124887
"7","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.0813715269207,30.4390607560908
"8","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.0797041927318,30.4390607560908
"9","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.0780368585428,30.4390607560908
"10","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.0763695243538,30.4390607560908
"11","CC Road Savannas",3213027.8302,7789.1595072,592.416,"598.95","Preserve","Recieved shapefile from Richard Martin, moved boundary up to Sections 10 & 3 line 1/5/2018",-93.0747021901648,30.4390607560908
